,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
1227,493,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30.0,1.5,4.1,0.366,0.8,2.7,0.314,0.7,1.4,0.467,0.469,0.6,0.7,0.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4,5.5,0.51,0.672,0.158,3.9,12.3,8.0,5.7,1.4,1.3,17.4,7.2,0.1,0.9,1.0,0.034,-4.6,0.5,-4.1,-0.7,7000000
1230,493,P.J. Tucker\tuckepj01,PF,35,MIL,20,1,19.9,0.9,2.3,0.391,0.7,1.7,0.394,0.3,0.7,0.385,0.533,0.2,0.3,0.6,0.9,1.9,2.8,0.8,0.5,0.1,0.4,1.7,2.6,5.5,0.51,0.672,0.158,3.9,12.3,8.0,5.7,1.4,1.3,17.4,7.2,0.1,0.9,1.0,0.034,-4.6,0.5,-4.1,-0.7,7000000
1234,495,Myles Turner\turnemy01,C,24,IND,47,47,31.0,4.4,9.2,0.477,1.5,4.4,0.335,2.9,4.8,0.606,0.557,2.4,3.0,0.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6,15.3,0.599,0.477,0.329,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,1.1,2.2,3.3,0.11,-1.6,2.0,0.4,0.9,18000000
1235,496,Jonas Valančiūnas\valanjo01,C,28,MEM,62,61,28.3,7.1,12.0,0.592,0.3,0.9,0.368,6.8,11.1,0.611,0.606,2.5,3.3,0.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1,24.4,0.636,0.077,0.273,15.1,31.9,23.4,10.0,1.0,2.9,10.7,22.4,5.1,2.6,7.8,0.213,3.2,-0.3,3.0,2.2,14000000
1237,498,Jarred Vanderbilt\vandeja01,PF,21,MIN,64,30,17.8,2.2,3.7,0.606,0.0,0.1,0.2,2.2,3.6,0.615,0.608,0.9,1.6,0.559,1.8,3.9,5.8,1.2,1.0,0.7,0.8,1.9,5.4,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,0.132,-1.4,1.4,-0.1,0.5,4259259
1238,499,Fred VanVleet\vanvlfr01,SG,26,TOR,52,52,36.5,6.5,16.7,0.389,3.3,9.2,0.366,3.2,7.6,0.416,0.489,3.3,3.7,0.885,0.6,3.6,4.2,6.3,1.7,0.7,1.8,2.3,19.6,16.8,0.534,0.547,0.22,1.8,11.3,6.4,26.7,2.2,2.0,9.1,23.9,2.4,1.8,4.3,0.108,2.2,0.2,2.5,2.2,19675926
1240,501,Devin Vassell\vassede01,SF,20,SAS,62,7,17.0,2.0,4.9,0.406,0.8,2.4,0.347,1.1,2.5,0.464,0.492,0.7,0.8,0.843,0.4,2.4,2.8,0.9,0.7,0.3,0.4,1.4,5.5,10.6,0.524,0.495,0.168,2.4,15.4,8.8,7.1,2.0,1.4,6.3,14.3,0.4,1.1,1.5,0.069,-2.2,0.7,-1.5,0.1,4235160
1241,502,Gabe Vincent\vincega01,PG,24,MIA,50,7,13.1,1.8,4.7,0.378,0.9,3.0,0.309,0.8,1.7,0.5,0.476,0.4,0.5,0.87,0.2,0.9,1.1,1.3,0.4,0.0,0.7,1.6,4.8,7.6,0.498,0.639,0.099,1.8,7.9,4.9,15.1,1.6,0.3,12.3,19.1,-0.4,0.5,0.2,0.011,-4.5,-0.9,-5.4,-0.6,1669178
1246,504,Nikola Vučević\vucevni01,C,30,ORL,44,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,7.3,14.1,0.515,0.545,2.1,2.5,0.827,2.0,9.8,11.8,3.8,1.0,0.6,1.9,1.8,24.5,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,24000000
1249,504,Nikola Vučević\vucevni01,C,30,CHI,26,26,32.6,8.8,18.8,0.471,2.3,5.8,0.388,6.6,12.9,0.509,0.532,1.5,1.8,0.87,2.3,9.3,11.5,3.9,0.9,0.8,1.7,2.2,21.5,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,24000000
1252,505,Dean Wade\wadede01,PF,24,CLE,63,19,19.2,2.1,4.9,0.431,1.2,3.4,0.366,0.9,1.6,0.571,0.556,0.5,0.6,0.769,0.6,2.8,3.4,1.2,0.6,0.3,0.5,1.2,6.0,11.3,0.573,0.685,0.125,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,1.1,0.9,2.0,0.08,-1.1,-0.1,-1.3,0.2,1782621
1257,506,Moritz Wagner\wagnemo01,C,23,WAS,25,13,15.0,2.5,4.9,0.508,0.5,1.7,0.31,2.0,3.2,0.613,0.561,1.6,2.1,0.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1,12.5,0.58,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,0.082,-2.7,0.2,-2.6,-0.1,1729217
1261,506,Moritz Wagner\wagnemo01,C,23,BOS,9,1,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.2,0.9,0.25,0.357,0.1,0.2,0.5,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2,12.5,0.58,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,0.082,-2.7,0.2,-2.6,-0.1,1729217
1265,506,Moritz Wagner\wagnemo01,C,23,ORL,11,10,26.0,3.5,8.5,0.409,1.5,3.9,0.372,2.0,4.5,0.44,0.495,2.6,3.0,0.879,1.0,3.9,4.9,1.1,0.4,0.8,1.2,3.3,11.0,12.5,0.58,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,0.082,-2.7,0.2,-2.6,-0.1,1729217
1269,507,Kemba Walker\walkeke02,PG,30,BOS,43,43,31.8,6.6,15.7,0.42,3.0,8.2,0.36,3.7,7.5,0.486,0.514,3.1,3.5,0.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,19.3,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,8729020
1271,508,Lonnie Walker IV\walkelo01,SG,22,SAS,60,38,25.4,4.3,10.2,0.42,1.7,4.7,0.355,2.6,5.5,0.477,0.502,1.0,1.2,0.814,0.2,2.4,2.6,1.7,0.5,0.3,1.1,1.7,11.2,9.8,0.523,0.463,0.115,1.0,10.1,5.4,9.6,0.9,0.8,9.2,20.1,-0.5,0.9,0.4,0.012,-2.3,-1.4,-3.7,-0.7,4447896
1272,509,John Wall\walljo01,PG,30,HOU,40,40,32.2,7.3,18.2,0.404,2.0,6.2,0.317,5.4,11.9,0.449,0.458,4.0,5.3,0.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6,15.4,0.503,0.343,0.291,1.3,9.7,5.3,36.2,1.5,2.1,14.7,31.7,-1.0,0.8,-0.2,-0.007,1.2,-1.9,-0.7,0.4,44310840
1279,510,Brad Wanamaker\wanambr01,PG,31,GSW,39,0,16.0,1.6,4.4,0.353,0.3,1.6,0.213,1.2,2.9,0.429,0.39,1.3,1.4,0.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7,9.5,0.489,0.284,0.338,1.8,8.8,5.3,22.5,1.9,1.0,17.1,16.9,-0.2,1.0,0.9,0.039,-4.4,0.3,-4.0,-0.5,705598
1285,510,Brad Wanamaker\wanambr01,PG,31,CHO,22,0,19.5,2.5,5.7,0.429,0.1,1.1,0.125,2.3,4.6,0.5,0.44,1.8,2.0,0.889,0.5,1.3,1.8,3.4,0.8,0.2,1.5,1.8,6.9,9.5,0.489,0.284,0.338,1.8,8.8,5.3,22.5,1.9,1.0,17.1,16.9,-0.2,1.0,0.9,0.039,-4.4,0.3,-4.0,-0.5,705598
1291,511,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,0.529,0.0,1.8,0.0,6.8,11.0,0.614,0.529,2.0,2.5,0.8,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5,11.6,0.56,0.137,0.196,1.9,11.1,6.5,6.5,0.8,0.0,6.7,21.6,0.1,0.1,0.1,0.045,-3.6,-1.9,-5.5,-0.1,12690000
1292,512,P.J. Washington\washipj01,PF,22,CHO,64,61,30.5,4.7,10.7,0.44,1.8,4.5,0.386,3.0,6.2,0.48,0.522,1.7,2.3,0.745,1.5,5.1,6.5,2.5,1.1,1.2,2.0,2.7,12.9,13.4,0.549,0.423,0.211,5.1,18.3,11.6,12.2,1.7,4.0,14.6,19.4,0.3,2.4,2.7,0.066,-1.5,0.6,-0.9,0.6,4215120
1293,513,Yuta Watanabe\watanyu01,SF,26,TOR,50,4,14.5,1.6,3.6,0.439,0.7,1.8,0.4,0.9,1.8,0.478,0.539,0.5,0.6,0.828,0.7,2.5,3.2,0.8,0.5,0.4,0.4,1.1,4.4,12.2,0.565,0.5,0.161,5.3,19.4,12.1,7.7,1.7,2.6,9.0,12.7,0.7,0.8,1.5,0.102,-1.1,0.5,-0.7,0.2,1762769
1297,517,Russell Westbrook\westbru01,PG,32,WAS,65,65,36.4,8.4,19.0,0.439,1.3,4.2,0.315,7.0,14.8,0.475,0.474,4.2,6.4,0.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,44211146
1298,518,Coby White\whiteco01,PG,20,CHI,69,54,31.2,5.4,13.1,0.416,2.4,6.6,0.359,3.1,6.5,0.473,0.506,1.9,2.1,0.901,0.4,3.7,4.1,4.8,0.6,0.2,2.3,2.6,15.1,12.0,0.54,0.503,0.157,1.5,13.0,7.3,21.8,0.9,0.6,13.9,22.5,0.7,1.7,2.4,0.052,-1.2,-1.2,-2.4,-0.2,5837760
1299,519,Derrick White\whitede01,SG,26,SAS,36,32,29.6,5.2,12.6,0.411,2.3,6.8,0.346,2.8,5.8,0.486,0.503,2.7,3.2,0.851,0.4,2.6,3.0,3.5,0.7,1.0,1.3,2.5,15.4,15.0,0.55,0.536,0.252,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,1.0,0.9,1.9,0.085,1.3,0.0,1.3,0.9,15178571
1300,520,Hassan Whiteside\whiteha01,C,31,SAC,36,4,15.2,3.5,6.2,0.563,0.0,0.0,0.0,3.5,6.2,0.565,0.563,1.1,2.2,0.519,1.7,4.3,6.0,0.6,0.3,1.3,1.1,2.0,8.1,19.2,0.566,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,0.3,0.6,0.9,0.081,-1.8,-0.4,-2.2,0.0,2401537
1302,522,Andrew Wiggins\wiggian01,PF,25,GSW,71,71,33.3,7.1,14.9,0.477,2.0,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1.0,1.8,2.2,18.6,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,31579390
1303,523,Grant Williams\willigr01,PF,22,BOS,63,9,18.1,1.7,3.9,0.437,0.8,2.0,0.372,1.0,1.9,0.508,0.534,0.5,0.8,0.588,0.8,2.1,2.8,1.0,0.5,0.4,0.9,2.6,4.7,7.5,0.546,0.522,0.206,4.7,12.8,8.7,7.4,1.4,2.0,17.2,12.3,0.1,1.0,1.1,0.046,-4.0,0.3,-3.7,-0.5,2617800
1304,524,Kenrich Williams\willike04,PF,26,OKC,66,13,21.6,3.3,6.2,0.533,0.8,1.8,0.444,2.5,4.5,0.568,0.596,0.5,1.0,0.571,1.3,2.9,4.1,2.3,0.8,0.3,1.2,2.2,8.0,14.0,0.599,0.285,0.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,0.096,-1.2,0.5,-0.7,0.4,2000000
1308,525,Lou Williams\willilo02,PG,34,LAC,42,3,21.9,4.3,10.2,0.421,1.1,2.8,0.378,3.2,7.4,0.437,0.473,2.5,2.8,0.866,0.4,1.7,2.1,3.4,0.9,0.1,1.6,1.0,12.1,14.0,0.519,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13.0,25.7,0.5,1.2,1.7,0.056,-1.0,-1.5,-2.5,-0.2,5000000
1311,525,Lou Williams\willilo02,PG,34,ATL,24,1,21.0,3.5,9.0,0.389,1.0,2.3,0.444,2.5,6.8,0.37,0.444,2.0,2.3,0.87,0.3,1.8,2.1,3.4,0.3,0.1,1.8,0.8,10.0,14.0,0.519,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13.0,25.7,0.5,1.2,1.7,0.056,-1.0,-1.5,-2.5,-0.2,5000000
1314,526,Patrick Williams\willipa01,PF,19,CHI,71,71,27.9,3.6,7.4,0.483,0.8,1.9,0.391,2.8,5.5,0.515,0.534,1.3,1.8,0.728,0.9,3.7,4.6,1.4,0.9,0.6,1.4,1.8,9.2,10.5,0.562,0.261,0.237,3.7,14.4,9.1,6.7,1.6,2.0,14.4,14.9,0.3,2.2,2.5,0.06,-2.8,0.4,-2.4,-0.2,7422000
1315,527,Robert Williams\williro04,C,23,BOS,52,13,18.9,3.6,5.0,0.721,0.0,0.0,0.0,3.6,4.9,0.727,0.721,0.9,1.4,0.616,2.6,4.3,6.9,1.8,0.8,1.8,1.0,2.0,8.0,25.7,0.719,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15.0,3.4,1.9,5.3,0.258,2.9,3.1,6.0,2.0,3661976
1316,528,Zion Williamson\willizi01,PF,20,NOP,61,61,33.2,10.4,17.0,0.611,0.2,0.6,0.294,10.2,16.4,0.622,0.616,6.0,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,27.0,27.1,0.649,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,7.1,1.6,8.7,0.205,6.1,-0.3,5.8,4.0,10733400
1326,530,Dylan Windler\windldy01,SF,24,CLE,31,0,16.5,1.8,4.2,0.438,0.8,2.5,0.338,1.0,1.7,0.585,0.538,0.7,0.9,0.778,0.6,2.8,3.5,1.1,0.6,0.4,1.0,1.2,5.2,10.8,0.567,0.592,0.208,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,0.0,0.5,0.5,0.045,-2.0,0.3,-1.7,0.0,2239200
1327,531,Justise Winslow\winslju01,SF,24,MEM,26,1,19.5,2.8,8.1,0.352,0.4,2.1,0.185,2.5,6.0,0.41,0.376,0.8,1.3,0.571,0.7,3.8,4.5,1.9,0.6,0.5,1.4,1.8,6.8,6.2,0.395,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.2,-6.0,-0.5,3902439
1329,533,James Wiseman\wisemja01,C,19,GSW,39,27,21.4,4.9,9.4,0.519,0.3,1.0,0.316,4.6,8.5,0.542,0.535,1.4,2.2,0.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5,13.1,0.552,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.2,0.7,0.042,-4.0,-1.0,-5.0,-0.6,9166800
1330,534,Christian Wood\woodch01,C,25,HOU,41,41,32.3,8.0,15.6,0.514,1.9,5.0,0.374,6.1,10.6,0.581,0.574,3.0,4.8,0.631,1.9,7.8,9.6,1.7,0.8,1.2,2.0,2.1,21.0,20.0,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,1.4,1.4,2.8,0.1,1.7,-0.3,1.4,1.1,13666667
1331,535,Robert Woodard II\woodaro01,SF,21,SAC,13,0,3.5,0.6,1.5,0.4,0.1,0.5,0.167,0.5,1.1,0.5,0.425,0.2,0.6,0.375,0.3,0.9,1.2,0.2,0.0,0.2,0.1,0.3,1.5,12.5,0.425,0.3,0.4,9.7,30.0,19.7,6.3,0.0,5.6,4.1,23.4,0.0,0.0,0.0,-0.011,-2.7,-2.6,-5.3,0.0,1517981
1335,536,Delon Wright\wrighde01,SG,28,DET,36,31,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2.9,5.7,0.515,0.517,2.0,2.5,0.789,1.0,3.5,4.6,5.0,1.6,0.5,1.3,1.3,10.4,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23.0,2.8,1.5,12.6,16.3,2.5,1.8,4.3,0.117,0.6,1.5,2.2,1.8,8526316
1338,536,Delon Wright\wrighde01,PG,28,SAC,27,8,25.8,3.9,8.3,0.462,1.2,3.1,0.398,2.6,5.3,0.5,0.536,1.1,1.3,0.833,1.0,2.9,3.9,3.6,1.6,0.4,1.3,1.1,10.0,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23.0,2.8,1.5,12.6,16.3,2.5,1.8,4.3,0.117,0.6,1.5,2.2,1.8,8526316
1341,537,Thaddeus Young\youngth01,PF,32,CHI,68,23,24.3,5.4,9.7,0.559,0.2,0.7,0.267,5.3,9.1,0.58,0.568,1.0,1.7,0.628,2.5,3.8,6.2,4.3,1.1,0.6,2.0,2.2,12.1,20.3,0.578,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,2.8,2.2,5.1,0.147,1.9,1.4,3.3,2.2,14190000
1342,538,Trae Young\youngtr01,PG,22,ATL,63,63,33.7,7.7,17.7,0.438,2.2,6.3,0.343,5.6,11.3,0.491,0.499,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,23.0,0.589,0.357,0.491,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,5.9,1.3,7.2,0.163,5.3,-1.7,3.7,3.0,8326471
1343,539,Cody Zeller\zelleco01,C,28,CHO,48,21,20.9,3.8,6.8,0.559,0.1,0.6,0.143,3.7,6.2,0.598,0.565,1.8,2.5,0.714,2.5,4.4,6.8,1.8,0.6,0.4,1.1,2.5,9.4,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,2.1,1.1,3.3,0.156,-0.2,-0.2,-0.5,0.4,2389641
1344,540,Ivica Zubac\zubaciv01,C,23,LAC,72,33,22.3,3.6,5.5,0.652,0.0,0.1,0.25,3.6,5.4,0.656,0.654,1.9,2.4,0.789,2.6,4.6,7.2,1.3,0.3,0.9,1.1,2.6,9.0,19.1,0.693,0.01,0.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,0.206,0.6,0.4,1.0,1.2,7518518
