Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
181,Luka Garza\garzalu01,C,23,DET,27,5,12.1,1.9,4.3,0.436,0.5,1.5,0.325,1.4,2.9,0.494,0.491,1,1.6,0.643,1.7,1.3,3.1,0.6,0.3,0.1,0.6,1.7,5.3
182,Rudy Gay\gayru01,PF,35,UTA,35,1,20,3.1,7.3,0.418,1.4,4.1,0.34,1.7,3.2,0.518,0.514,1.4,1.8,0.79,1,3.6,4.6,1.1,0.6,0.3,0.9,1.9,8.9
183,Paul George\georgpa01,SF,31,LAC,26,26,35.5,9,21.4,0.421,2.7,8.3,0.323,6.3,13,0.484,0.484,4,4.5,0.88,0.4,6.7,7.1,5.5,2,0.4,4.2,2.5,24.7
184,Taj Gibson\gibsota01,C,36,NYK,35,4,17.9,1.4,2.7,0.516,0.2,0.5,0.333,1.2,2.2,0.558,0.547,0.7,0.9,0.742,1.5,2.7,4.3,0.7,0.5,0.8,0.6,2.7,3.6
185,Josh Giddey\giddejo01,SG,19,OKC,49,49,31.3,5.1,12.2,0.416,1,4,0.253,4.1,8.2,0.498,0.458,0.9,1.3,0.697,1.8,5.8,7.6,6.2,1,0.4,3.1,1.7,12.1
186,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,43,43,34.6,7.8,18.3,0.424,1.6,5.6,0.278,6.2,12.7,0.488,0.466,5.6,6.9,0.811,0.7,4,4.7,5.5,1.1,0.8,2.4,2.3,22.7
187,Anthony Gill\gillan01,PF,29,WAS,21,0,5.8,0.9,1.3,0.667,0.2,0.3,0.714,0.6,1,0.65,0.759,0.6,0.7,0.857,0.4,0.8,1.2,0.4,0,0.1,0.2,0.9,2.5
188,Freddie Gillespie\gillefr01,PF,24,ORL,9,2,13.2,1,2.4,0.409,0,0.1,0,1,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4,0.6,0.3,1,0.6,2,2.3
189,Rudy Gobert\goberru01,C,29,UTA,42,42,32.5,5.6,8,0.707,0,0,0,5.6,7.9,0.712,0.707,4.7,6.8,0.69,3.7,11.4,15.1,1.2,0.8,2.3,1.8,2.7,16
190,Brandon Goodwin\goodwbr01,PG,26,CLE,15,3,16.7,2.2,5.7,0.388,0.8,2.1,0.375,1.4,3.5,0.396,0.459,0.5,0.9,0.5,0.5,2,2.5,3.3,1.1,0,1.1,1.5,5.7
191,Jordan Goodwin\goodwjo01,SG,23,WAS,2,0,3,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0,0.5,0.5,0,0,0,0,0.5,0
192,Aaron Gordon\gordoaa01,PF,26,DEN,49,49,31.7,5.7,10.9,0.52,1.2,3.5,0.337,4.5,7.4,0.607,0.574,2.2,3,0.733,1.7,4,5.7,2.6,0.7,0.6,1.7,1.8,14.7
193,Eric Gordon\gordoer01,SG,33,HOU,45,34,29.5,5,10.2,0.491,2.2,5.2,0.427,2.8,5,0.558,0.6,1.9,2.6,0.757,0.3,1.7,2,3,0.5,0.4,2,1,14.2
194,Devonte' Graham\grahade01,PG,26,NOP,50,50,31.3,4.5,12.3,0.363,2.9,8.3,0.348,1.6,3.9,0.396,0.481,1.7,2.1,0.845,0.4,2.1,2.5,4.5,0.9,0.2,1.6,1.4,13.6
195,Jerami Grant\grantje01,PF,27,DET,29,29,32.6,6.3,15.5,0.404,1.8,5.3,0.331,4.5,10.2,0.443,0.461,4.8,5.8,0.832,0.8,3.7,4.5,2.5,1,1,2,2.2,19.1
196,Hassani Gravett\graveha01,PG,25,ORL,8,3,21.4,2.3,4.8,0.474,1.4,3.3,0.423,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3
197,Danny Green\greenda02,SF,34,PHI,36,23,23.4,2.3,5.7,0.412,1.8,4.8,0.386,0.5,0.9,0.545,0.574,0.3,0.3,0.9,0.5,2,2.6,1,1.1,0.8,0.9,1.7,6.8
198,Draymond Green\greendr01,PF,31,GSW,34,34,29.9,3.2,5.9,0.537,0.4,1.2,0.286,2.8,4.7,0.604,0.567,1.2,2,0.597,1.1,6.4,7.6,7.4,1.4,1.2,3.1,2.8,7.9
199,Jalen Green\greenja05,SG,19,HOU,39,39,30.2,4.7,12.6,0.377,1.8,6.1,0.29,3,6.5,0.458,0.447,3.1,3.6,0.838,0.4,2.9,3.3,2.4,0.6,0.2,2.3,1.5,14.3
200,JaMychal Green\greenja01,PF,31,DEN,41,7,14.7,2.2,4.9,0.46,0.6,2.1,0.264,1.7,2.8,0.611,0.518,1.2,1.3,0.873,0.9,2.7,3.6,0.9,0.7,0.4,0.9,2.2,6.2
201,Javonte Green\greenja02,SF,28,CHI,39,28,23.6,2.6,4.9,0.526,0.4,1.4,0.283,2.2,3.6,0.619,0.565,1.5,1.8,0.819,1.6,2.7,4.2,1.1,0.9,0.6,0.5,2.2,7.1
202,Jeff Green\greenje02,C,35,DEN,50,38,24.6,3.7,7.3,0.514,0.7,2.2,0.321,3,5,0.599,0.563,2.1,2.5,0.817,0.6,2.6,3.1,1.2,0.3,0.4,0.9,2.2,10.3
203,Josh Green\greenjo02,SG,21,DAL,40,0,13.8,1.8,3.5,0.518,0.3,0.8,0.313,1.6,2.7,0.579,0.554,0.6,0.9,0.714,0.7,1.4,2.1,1.3,0.7,0.2,0.5,1.6,4.5
204,Blake Griffin\griffbl01,PF,32,BRK,43,22,18.6,2.5,6.1,0.413,0.7,2.8,0.23,1.9,3.3,0.57,0.466,1,1.4,0.733,1.2,3.3,4.5,2.1,0.5,0.3,0.5,1.8,6.7
205,Quentin Grimes\grimequ01,SG,21,NYK,35,2,15.9,2,4.9,0.407,1.5,3.9,0.382,0.5,1,0.5,0.558,0.2,0.3,0.727,0.5,1.3,1.7,0.9,0.7,0.2,0.6,1.3,5.7
206,Kyle Guy\guyky01,SG,24,MIA,14,0,12.5,1.9,4.3,0.433,1,2.5,0.4,0.9,1.8,0.48,0.55,0.5,0.7,0.7,0.1,0.8,0.9,1.2,0.5,0.1,0.9,0.9,5.2
207,Rui Hachimura\hachiru01,PF,23,WAS,14,0,17.9,2.9,6.7,0.436,0.8,2.1,0.379,2.1,4.6,0.462,0.495,1.1,1.5,0.762,0.4,3.3,3.6,0.9,0.3,0.2,0.6,1,7.8
208,Tyrese Haliburton\halibty01,SG,21,SAC,51,51,34.5,5.3,11.5,0.457,2,4.9,0.413,3.2,6.5,0.491,0.546,1.7,2,0.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3
209,Tyler Hall\hallty01,SG,24,NYK,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
210,R.J. Hampton\hamptrj01,SG,20,ORL,42,1,19.4,2.5,6.7,0.382,0.9,2.5,0.364,1.6,4.1,0.393,0.452,1.1,1.9,0.608,0.3,2.6,2.9,2.4,0.7,0.2,1.3,1.5,7.2
211,Tim Hardaway Jr.\hardati02,SG,29,DAL,42,20,29.6,5,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2
212,James Harden\hardeja01,PG,32,BRK,44,44,37,6.6,16,0.414,2.3,7,0.332,4.3,9.1,0.476,0.486,6.9,8,0.869,1,7,8,10.2,1.3,0.7,4.8,2.4,22.5
213,Maurice Harkless\harklma01,SF,28,SAC,38,19,19.4,1.9,4.3,0.444,0.7,2.4,0.297,1.2,1.9,0.634,0.528,0.4,0.6,0.714,0.3,2.1,2.4,0.6,0.6,0.6,0.7,1.7,4.9
214,Jared Harper\harpeja01,PG,24,NOP,2,0,5,1.5,3.5,0.429,0.5,1,0.5,1,2.5,0.4,0.5,0,0,,0.5,0,0.5,1.5,0,0.5,0.5,1,3.5
215,Montrezl Harrell\harremo01,C,28,WAS,46,3,24.3,5.4,8.3,0.645,0.1,0.3,0.267,5.3,8,0.66,0.65,3.2,4.5,0.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
216,Gary Harris\harriga01,SG,27,ORL,48,30,29.5,4.2,9.5,0.444,1.9,4.9,0.388,2.3,4.5,0.505,0.545,1.4,1.6,0.844,0.6,1.6,2.2,1.9,0.8,0.2,1,1.9,11.7
217,Joe Harris\harrijo01,SF,30,BRK,14,14,30.2,4,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4,1,0.5,0.1,1.1,2.2,11.3
218,Tobias Harris\harrito02,PF,29,PHI,45,45,35.4,7.4,15.2,0.488,1.2,3.5,0.346,6.2,11.7,0.53,0.528,3.1,3.6,0.853,1.1,6.2,7.3,3.8,0.6,0.6,1.8,2,19.1
219,Shaquille Harrison\harrish01,SG,28,BRK,2,0,11.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0.5,1.5,2,1.5,0.5,0.5,1,1.5,2
220,Josh Hart\hartjo01,PF,26,NOP,41,40,33.5,4.8,9.4,0.505,1,3.2,0.323,3.7,6.2,0.598,0.56,2.8,3.8,0.753,1.3,6.5,7.8,4.1,1.1,0.3,2,2.9,13.4
221,Isaiah Hartenstein\harteis01,C,23,LAC,42,0,16,3.2,5.1,0.624,0.1,0.1,0.5,3.1,4.9,0.628,0.631,1.2,1.7,0.681,1.6,2.7,4.3,1.9,0.7,1.1,1,2.5,7.6
222,Udonis Haslem\hasleud01,C,41,MIA,9,0,6.3,1.2,2.4,0.5,0.1,0.2,0.5,1.1,2.2,0.5,0.523,0.3,0.3,1,0.4,1.6,2,0.3,0.1,0.1,0.3,1.2,2.9
223,Sam Hauser\hausesa01,SF,24,BOS,10,0,4.1,0.4,1.4,0.286,0.4,1.4,0.286,0,0,,0.429,0,0,,0.1,0.5,0.6,0.1,0.1,0.1,0,0.4,1.2
224,Jaxson Hayes\hayesja02,C,21,NOP,42,4,16.4,3.2,5,0.63,0.2,0.6,0.28,3,4.4,0.677,0.647,1.9,2.5,0.771,1.4,2.7,4,0.5,0.4,0.8,0.8,2.2,8.4
225,Killian Hayes\hayeski01,PG,20,DET,42,33,25,2.4,6.5,0.365,0.7,2.6,0.278,1.7,4,0.422,0.42,0.9,1.1,0.809,0.5,2.5,3,4,1.1,0.5,1.7,2.6,6.4
226,Gordon Hayward\haywago01,SF,31,CHO,48,48,32.2,5.9,12.7,0.46,1.8,4.5,0.39,4.1,8.2,0.499,0.529,2.6,3.1,0.846,0.8,3.8,4.6,3.6,1,0.5,1.7,1.8,16.1
227,Aaron Henry\henryaa01,SF,22,PHI,6,0,2.8,0.2,0.8,0.2,0,0.2,0,0.2,0.7,0.25,0.2,0,0,,0,0.2,0.2,0,0,0.3,0.3,0.3,0.3
228,Juancho Hernangómez\hernaju01,PF,26,TOT,23,0,6.4,0.3,1.4,0.212,0.1,0.9,0.143,0.2,0.5,0.333,0.258,0.4,0.6,0.692,0.6,1.2,1.7,0.3,0.2,0.1,0.3,0.3,1.1
228,Juancho Hernangómez\hernaju01,PF,26,BOS,18,0,5.3,0.3,1.5,0.185,0.2,1,0.167,0.1,0.5,0.222,0.241,0.3,0.5,0.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1
228,Juancho Hernangómez\hernaju01,PF,26,SAS,5,0,10.2,0.4,1.2,0.333,0,0.6,0,0.4,0.6,0.667,0.333,0.6,0.8,0.75,0.8,2.2,3,0.6,0.2,0.2,0.4,0,1.4
229,Willy Hernangómez\hernawi01,C,27,NOP,28,6,16.7,3.5,6.5,0.536,0.1,0.3,0.429,3.4,6.3,0.54,0.544,2.1,2.8,0.753,2.8,4.3,7.1,1.3,0.4,0.3,1,1.9,9.2
230,Tyler Herro\herroty01,SG,22,MIA,45,10,32.9,7.5,17.4,0.428,2.6,6.8,0.378,4.9,10.6,0.46,0.502,2.6,3,0.873,0.6,4.2,4.8,4,0.6,0.2,2.8,1.5,20.1
231,Buddy Hield\hieldbu01,SG,29,SAC,55,6,28.6,4.8,12.6,0.382,3.3,9,0.368,1.5,3.6,0.419,0.514,1.5,1.7,0.87,0.8,3.2,4,1.9,0.9,0.3,1.6,2.1,14.4
232,Haywood Highsmith\highsha01,SF,25,MIA,4,0,10.5,1,2,0.5,1,1.8,0.571,0,0.3,0,0.75,0,0,,0.5,0.8,1.3,0,0,0.3,0,0.8,3
233,George Hill\hillge01,SG,35,MIL,41,16,25.5,2.5,5.7,0.436,0.9,2.9,0.316,1.6,2.9,0.556,0.515,1.2,1.2,0.96,0.9,2.4,3.2,2.5,0.8,0.1,0.9,1.4,7
234,Malcolm Hill\hillma01,SF-SG,26,TOT,14,0,12.6,1.5,3.1,0.488,0.9,2.1,0.414,0.6,1,0.643,0.628,0.7,0.9,0.833,0.7,1.2,1.9,0.3,0.4,0.2,0.1,1.4,4.6
234,Malcolm Hill\hillma01,SG,26,ATL,3,0,15.3,1.7,2.7,0.625,1,1.7,0.6,0.7,1,0.667,0.813,1.3,1.3,1,0.7,1.3,2,0.3,1.3,0.3,0,2.3,5.7
234,Malcolm Hill\hillma01,SF,26,CHI,11,0,11.8,1.5,3.2,0.457,0.8,2.2,0.375,0.6,1,0.636,0.586,0.5,0.7,0.75,0.7,1.2,1.9,0.3,0.2,0.2,0.2,1.2,4.3
235,Solomon Hill\hillso01,PF,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
236,Nate Hinton\hintona01,SG,22,IND,2,0,1,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0.5,0,0
237,Jaylen Hoard\hoardja01,SF,22,OKC,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,1,1,2,0,0,0,0,0,0
238,Aaron Holiday\holidaa01,PG,25,WAS,41,14,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1,1.5,6.1
239,Jrue Holiday\holidjr01,PG,31,MIL,43,40,32.7,7.2,14.2,0.503,1.8,4.5,0.395,5.4,9.7,0.554,0.566,1.8,2.3,0.76,1,3.7,4.7,6.7,1.5,0.6,2.7,1.9,17.9
240,Justin Holiday\holidju01,SF-SG,32,TOT,50,41,28.9,3.8,9.4,0.409,2.5,6.8,0.371,1.3,2.5,0.512,0.545,0.7,0.9,0.837,0.4,2.4,2.7,1.9,0.8,0.4,1.1,2.1,10.9
240,Justin Holiday\holidju01,SF,32,IND,49,40,28.9,3.9,9.3,0.415,2.6,6.9,0.378,1.3,2.5,0.516,0.553,0.7,0.8,0.829,0.4,2.4,2.8,1.8,0.7,0.4,1,2.1,11
240,Justin Holiday\holidju01,SG,32,SAC,1,1,30,2,11,0.182,0,6,0,2,5,0.4,0.182,2,2,1,1,1,2,4,2,1,5,2,6
241,Richaun Holmes\holmeri01,C,28,SAC,38,37,25.3,4.9,7.2,0.684,0.1,0.1,0.4,4.8,7,0.689,0.688,1.7,2.2,0.765,2.2,5.5,7.7,1.2,0.4,1,1.3,3,11.6
242,Rodney Hood\hoodro01,SF,29,MIL,39,0,14.9,1.2,3.4,0.351,0.6,2.1,0.3,0.6,1.3,0.431,0.443,0.3,0.4,0.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3
243,Scotty Hopson\hopsosc01,SG,32,OKC,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,2,1,4
244,Al Horford\horfoal01,C,35,BOS,47,47,28.4,3.8,8.7,0.435,1.2,4,0.293,2.6,4.7,0.557,0.502,1.3,1.6,0.84,1.6,5.9,7.5,3.4,0.6,1.3,1,1.9,10
245,Talen Horton-Tucker\hortota01,SG,21,LAL,40,15,25.7,3.6,8.8,0.41,0.8,3,0.269,2.8,5.8,0.483,0.456,1.5,1.9,0.797,0.6,2.7,3.2,2.7,0.9,0.5,1.5,2.5,9.5
246,Danuel House Jr.\houseda01,SF,28,TOT,24,2,15.5,1.8,4.8,0.386,0.8,2.5,0.339,1,2.3,0.436,0.474,1.1,1.4,0.818,0.3,2.2,2.5,1.3,0.4,0.3,0.9,1,5.6
246,Danuel House Jr.\houseda01,SF,28,HOU,16,1,14.6,1.6,4.6,0.338,0.6,2.1,0.294,0.9,2.5,0.375,0.405,1.1,1.2,0.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1,4.8
246,Danuel House Jr.\houseda01,SF,28,NYK,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
246,Danuel House Jr.\houseda01,SF,28,UTA,7,1,19.3,2.7,5.6,0.487,1.4,3.4,0.417,1.3,2.1,0.6,0.615,1.4,2,0.714,0.6,2,2.6,1.6,0.7,0.4,0.6,1.3,8.3
247,Dwight Howard\howardw01,C,36,LAL,41,11,14.5,1.9,3,0.621,0.1,0.2,0.667,1.7,2.8,0.617,0.645,1.3,2.1,0.612,1.9,3.5,5.4,0.5,0.7,0.6,0.8,2,5.2
248,Markus Howard\howarma02,SG,22,DEN,22,0,6.1,1.2,3.3,0.37,1,2.4,0.434,0.2,0.9,0.2,0.527,0.6,0.6,0.929,0,0.3,0.3,0.3,0.3,0,0.3,0.5,4.1
249,Kevin Huerter\huertke01,SG,23,ATL,47,33,29.1,4.5,9.8,0.463,1.9,5,0.377,2.6,4.8,0.554,0.56,0.6,0.7,0.8,0.4,2.7,3.2,2.8,0.6,0.3,1.3,2.2,11.6
250,Jay Huff\huffja01,C,23,LAL,4,0,5,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0.3,0.8,1,0.3,0.3,0.3,0.3,0.3,0
251,Elijah Hughes\hugheel01,SF,23,UTA,14,1,8,1.1,2.6,0.417,0.7,2,0.357,0.4,0.6,0.625,0.556,0.2,0.2,1,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
252,De'Andre Hunter\huntede01,SF,24,ATL,26,25,28.7,4.8,10.5,0.453,1.4,3.5,0.407,3.3,7,0.475,0.52,2.1,3,0.701,0.4,3,3.4,1.3,0.6,0.4,1.5,2.8,13
253,Chandler Hutchison\hutchch01,SF,25,PHO,6,0,3.7,0.2,0.3,0.5,0,0,,0.2,0.3,0.5,0.5,0.3,0.3,1,0,0.8,0.8,0.3,0,0,0.7,0.2,0.7
254,Bones Hyland\hylanbo01,PG,21,DEN,42,0,17.7,2.9,7.9,0.366,1.7,4.9,0.348,1.2,3.1,0.395,0.473,1.1,1.3,0.889,0.2,2.5,2.7,2,0.5,0.3,1.2,2.1,8.6
255,Serge Ibaka\ibakase01,C,32,LAC,35,10,15.4,2.7,5.5,0.49,0.7,1.8,0.387,2,3.7,0.538,0.552,0.6,0.8,0.69,1.1,3.1,4.3,1,0.2,0.7,0.9,1.6,6.6
256,Andre Iguodala\iguodan01,SF,38,GSW,26,0,19.9,1.5,3.9,0.392,0.5,2.3,0.23,1,1.6,0.634,0.461,0.5,0.6,0.813,0.7,2.6,3.3,3.8,0.8,0.8,0.9,1,4.1
257,Joe Ingles\inglejo01,SF,34,UTA,45,15,24.9,2.6,6.3,0.404,1.7,5,0.347,0.8,1.3,0.617,0.54,0.4,0.5,0.773,0.3,2.6,2.9,3.5,0.5,0.1,1,1.8,7.2
258,Brandon Ingram\ingrabr01,SF,24,NOP,40,40,34.5,8.3,18.5,0.45,1.6,4.5,0.348,6.8,14,0.483,0.493,4.7,5.7,0.82,0.7,5.1,5.8,5.5,0.7,0.5,2.6,2,22.9
259,Kyrie Irving\irvinky01,PG,29,BRK,12,12,35.6,9,19.8,0.456,2.4,6.6,0.367,6.6,13.2,0.5,0.517,2.8,3,0.917,0.7,4.1,4.8,5.3,1.1,0.6,2.4,2.3,23.2
260,Wes Iwundu\iwundwe01,SF,27,ATL,3,1,27.3,2.7,6,0.444,1,1.7,0.6,1.7,4.3,0.385,0.528,1,1.3,0.75,1,3.3,4.3,0,0.3,0,0.3,2.7,7.3
261,Frank Jackson\jacksfr01,PG,23,DET,41,5,22.7,4,9.4,0.422,1.8,5.5,0.33,2.1,3.8,0.554,0.52,1.4,1.8,0.792,0.3,1.3,1.7,1,0.5,0.2,0.8,1.8,11.1
262,Isaiah Jackson\jacksis01,PF,20,IND,19,2,9.5,2.1,4,0.526,0.2,0.4,0.429,1.9,3.6,0.536,0.546,1.1,1.6,0.677,1.2,1.6,2.8,0.4,0.4,0.8,0.5,1.8,5.5
263,Jaren Jackson Jr.\jacksja02,PF,22,MEM,55,55,27.9,5.8,13.7,0.424,1.7,5.4,0.318,4.1,8.3,0.492,0.486,3.5,4.4,0.802,1.5,4.5,6,1.1,1,2.2,1.7,3.4,16.8
264,Josh Jackson\jacksjo02,SF,24,DET,39,3,18.1,2.6,6.4,0.41,0.8,2.9,0.265,1.9,3.5,0.529,0.47,1,1.4,0.714,0.4,2.7,3.2,1.3,0.5,0.5,1,1.8,7.1
265,Justin Jackson\jacksju01,SF,26,TOT,7,0,5.3,0.7,2.1,0.333,0.4,1.3,0.333,0.3,0.9,0.333,0.433,0.3,0.3,1,0.1,0.9,1,0.3,0,0,0.1,0.4,2.1
265,Justin Jackson\jacksju01,SF,26,BOS,1,0,2,0,1,0,0,0,,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2
265,Justin Jackson\jacksju01,SF,26,PHO,6,0,5.8,0.8,2.3,0.357,0.5,1.5,0.333,0.3,0.8,0.4,0.464,0,0,,0.2,1,1.2,0.3,0,0,0.2,0.5,2.2
266,Reggie Jackson\jacksre01,SG,31,LAC,52,52,30.5,6.2,15.7,0.394,2.4,7.2,0.331,3.8,8.6,0.446,0.469,1.7,2,0.857,0.5,2.9,3.3,4.1,0.8,0.1,2.2,1.9,16.5
267,LeBron James\jamesle01,SF,37,LAL,39,39,36.7,11,21,0.526,2.8,7.8,0.354,8.3,13.2,0.628,0.592,4.2,5.6,0.753,1.1,6.6,7.7,6.5,1.6,1,3.2,2.3,29.1
268,DeJon Jarreau\jarrede01,SG,24,IND,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
269,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,0,3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0,0.7,0.7,0.3,0,0,0,0.3,0.7
270,Ty Jerome\jeromty01,SG,24,OKC,45,4,16.6,2.6,6.8,0.386,1.1,3.9,0.293,1.5,3,0.507,0.469,0.8,0.9,0.833,0.4,1.2,1.6,2.2,0.6,0.1,0.8,1.6,7.2
271,Isaiah Joe\joeis01,SG,22,PHI,38,1,12.9,1.3,3.6,0.355,0.9,2.8,0.33,0.4,0.8,0.438,0.482,0.5,0.6,0.952,0.1,1.1,1.2,0.7,0.3,0.1,0.3,1,4
272,Alize Johnson\johnsal02,PF,25,TOT,19,0,7.3,0.7,1.5,0.483,0,0.2,0,0.7,1.3,0.56,0.483,0.2,0.4,0.5,1.1,1.4,2.5,0.4,0.2,0,0.6,0.8,1.7
272,Alize Johnson\johnsal02,PF,25,CHI,16,0,7.6,0.8,1.4,0.522,0,0.1,0,0.8,1.3,0.571,0.522,0.3,0.4,0.571,1,1.3,2.3,0.5,0.2,0,0.5,0.9,1.8
272,Alize Johnson\johnsal02,PF,25,WAS,3,0,6,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0.3,0,1.7,2.3,4,0,0,0,1,0,1.3
273,B.J. Johnson\johnsbj01,SF,26,ORL,4,0,16.3,2.8,6.3,0.44,1,2.5,0.4,1.8,3.8,0.467,0.52,0,0,,1.5,2.3,3.8,0,0,0.3,0,1,6.5
274,Cameron Johnson\johnsca02,PF,25,PHO,51,10,26,4.1,8.9,0.456,2.5,5.8,0.429,1.6,3.1,0.506,0.595,1.2,1.4,0.849,0.6,3.6,4.2,1.2,0.9,0.2,0.6,1.7,11.9
275,David Johnson\johnsda08,SG,20,TOR,2,0,1,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
276,Jalen Johnson\johnsja05,PF,20,ATL,13,0,4.5,0.7,1.5,0.474,0.2,0.5,0.429,0.5,0.9,0.5,0.553,0.3,0.5,0.667,0,1.2,1.2,0.1,0,0,0.2,0.2,1.9
277,James Johnson\johnsja01,PF,34,BRK,39,5,18.8,2.4,5,0.485,0.3,1.2,0.283,2.1,3.8,0.547,0.518,0.3,0.7,0.379,1,2.5,3.5,1.9,0.5,0.4,0.7,2.3,5.5
278,Joe Johnson\johnsjo02,SG,40,BOS,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2
279,Keldon Johnson\johnske04,SF,22,SAS,51,50,31.1,5.8,12.5,0.466,1.9,4.4,0.427,3.9,8,0.488,0.542,1.9,2.7,0.715,1,5.1,6.1,1.8,0.7,0.1,1.3,1.8,15.4
280,Keon Johnson\johnske07,SG,19,LAC,15,0,9,1.1,3.4,0.333,0.2,0.7,0.273,0.9,2.7,0.35,0.363,1.1,1.4,0.762,0.4,1,1.4,0.9,0.5,0.1,0.5,1.4,3.5
281,Stanley Johnson\johnsst04,PF,25,LAL,22,12,22.4,2.5,5.1,0.487,0.7,2.3,0.32,1.8,2.9,0.619,0.558,1,1.4,0.677,0.7,2.6,3.3,1.3,0.8,0.5,0.6,3,6.7
282,Tyler Johnson\johnsty01,PG,29,TOT,6,0,15.2,1,3.3,0.3,0.8,2.2,0.385,0.2,1.2,0.143,0.425,0,0,,0.5,1.5,2,1.2,0.5,0.5,0.3,1.2,2.8
282,Tyler Johnson\johnsty01,PG,29,PHI,3,0,12.7,1.3,3.3,0.4,1,2.3,0.429,0.3,1,0.333,0.55,0,0,,0.3,1.7,2,0.7,0.3,0.3,0.3,1.3,3.7
282,Tyler Johnson\johnsty01,PG,29,SAS,3,0,17.7,0.7,3.3,0.2,0.7,2,0.333,0,1.3,0,0.3,0,0,,0.7,1.3,2,1.7,0.7,0.7,0.3,1,2
283,Nikola Jokić\jokicni01,C,26,DEN,48,48,32.9,9.9,17.1,0.578,1.6,4.2,0.375,8.3,12.9,0.644,0.624,4.5,5.5,0.816,2.7,11,13.6,7.9,1.4,0.7,3.6,2.5,25.8
284,Carlik Jones\jonesca03,PG,24,TOT,5,0,4.6,0.2,1.8,0.111,0,0.2,0,0.2,1.6,0.125,0.111,0.4,0.4,1,0.2,0.4,0.6,1,0.2,0,0.6,0,0.8
284,Carlik Jones\jonesca03,PG,24,DAL,3,0,6.3,0,2.3,0,0,0.3,0,0,2,0,0,0.7,0.7,1,0.3,0.7,1,1.7,0.3,0,1,0,0.7
284,Carlik Jones\jonesca03,PG,24,DEN,2,0,2,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,1
285,Damian Jones\jonesda03,C,26,SAC,37,5,15.2,2.4,3.8,0.638,0.1,0.4,0.357,2.3,3.4,0.669,0.656,1.3,1.8,0.727,1.4,2.5,3.9,1.1,0.3,0.6,1,2.1,6.3
286,Derrick Jones Jr.\jonesde02,PF,24,CHI,31,8,17.2,2.3,3.9,0.582,0.5,1.2,0.405,1.8,2.7,0.659,0.643,1.3,1.5,0.848,1.2,2.2,3.4,0.5,0.5,0.7,0.5,2.3,6.3
287,Herbert Jones\joneshe01,PF,23,NOP,51,42,29.8,3.6,7.4,0.496,0.7,1.9,0.361,3,5.5,0.543,0.543,1.6,1.9,0.835,1.3,2.6,3.9,2.1,1.5,0.9,1.1,3,9.6
