Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
107,Amir Coffey\coffeam01,SG,24,LAC,43,20,22.1,2.8,6.1,0.464,1.4,3.6,0.397,1.4,2.4,0.562,0.582,1.5,1.7,0.887,0.5,2.6,3.1,1.6,0.5,0.2,0.5,1.3,8.5
108,John Collins\collijo01,PF,24,ATL,49,49,31.5,6.6,12.2,0.541,1.3,3.2,0.395,5.3,9,0.593,0.593,2.6,3.3,0.794,1.8,6.2,8,1.9,0.7,1.1,1.1,3.1,17
109,Zach Collins\colliza01,PF,24,SAS,2,0,15.5,3,6.5,0.462,0.5,1,0.5,2.5,5.5,0.455,0.5,1,2,0.5,3.5,3.5,7,3,1.5,0,2,3,7.5
110,Darren Collison\collida01,PG,34,LAL,3,0,12.3,0.7,2.3,0.286,0,1,0,0.7,1.3,0.5,0.286,0,0,,0,1.3,1.3,0.7,0.3,0,0.3,1.7,1.3
111,Mike Conley\conlemi01,PG,34,UTA,49,49,28.5,5,11,0.449,2.5,5.8,0.425,2.5,5.2,0.477,0.561,2,2.3,0.835,0.6,2.4,3.1,5.2,1.2,0.3,1.7,1.8,14.3
112,Pat Connaughton\connapa01,SG,29,MIL,53,18,27.2,3.6,7.7,0.473,2.3,5.7,0.413,1.3,2,0.639,0.625,0.6,0.7,0.811,0.7,3.7,4.4,1.2,0.9,0.3,0.6,1.4,10.2
113,Tyler Cook\cookty01,PF,24,CHI,18,2,10.7,1.2,2,0.611,0,0,,1.2,2,0.611,0.611,1.1,1.7,0.645,0.9,1.9,2.8,0.2,0.2,0.2,0.4,1.3,3.6
114,Sharife Cooper\coopesh01,PG,20,ATL,10,0,3.5,0.3,1.4,0.214,0.1,0.6,0.167,0.2,0.8,0.25,0.25,0,0,,0,0.5,0.5,0.5,0,0,0.5,0.1,0.7
115,Petr Cornelie\cornepe01,PF,26,DEN,13,0,2.9,0.4,1.2,0.333,0.1,0.6,0.125,0.3,0.5,0.571,0.367,0.2,0.3,0.75,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
116,DeMarcus Cousins\couside01,C,31,TOT,22,5,16,2.9,7,0.418,0.7,2.8,0.262,2.2,4.2,0.522,0.471,1.8,2.4,0.769,1.5,4.5,6,1,0.9,0.4,1.3,2.8,8.4
116,DeMarcus Cousins\couside01,C,31,MIL,17,5,16.9,3.2,6.9,0.466,0.8,2.8,0.271,2.5,4.1,0.6,0.521,1.8,2.2,0.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1
116,DeMarcus Cousins\couside01,C,31,DEN,5,0,13.2,1.8,7,0.257,0.6,2.6,0.231,1.2,4.4,0.273,0.3,1.8,2.8,0.643,2,5,7,1,0.8,0.2,2.6,3,6
117,Robert Covington\covinro01,PF-SF,31,TOT,50,40,29.7,2.7,7.1,0.385,1.7,4.8,0.346,1.1,2.3,0.469,0.503,0.7,0.9,0.822,0.9,4.8,5.7,1.4,1.5,1.3,1.2,2.8,7.8
117,Robert Covington\covinro01,PF,31,POR,48,40,29.8,2.7,7,0.381,1.6,4.8,0.343,1,2.2,0.462,0.499,0.6,0.8,0.833,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,7.6
117,Robert Covington\covinro01,SF,31,LAC,2,0,26,4,8.5,0.471,2,5,0.4,2,3.5,0.571,0.588,3.5,4.5,0.778,2,3,5,0.5,1,1,1.5,3,13.5
118,Torrey Craig\craigto01,SF,31,IND,51,14,20.3,2.5,5.5,0.456,0.9,2.7,0.333,1.6,2.8,0.573,0.537,0.5,0.7,0.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5
119,Jae Crowder\crowdja01,PF,31,PHO,44,44,28.3,3.1,7.8,0.397,1.8,5.2,0.343,1.3,2.6,0.504,0.512,0.9,1.1,0.816,0.4,4.8,5.2,1.5,1.3,0.5,0.9,2.4,8.9
120,Jarrett Culver\culveja01,SG,22,MEM,25,0,9.3,1.5,3.6,0.416,0.4,1.2,0.3,1.1,2.4,0.475,0.466,0.4,0.8,0.524,0.3,1.2,1.5,1,0.6,0.1,0.4,1,3.8
121,Jarron Cumberland\cumbeja01,SG,24,POR,3,0,4,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0.3,0.7,1,0.3,0,0,0,0.7,0.7
122,Cade Cunningham\cunnica01,PG,20,DET,41,41,32,6,15,0.397,2,6.2,0.328,3.9,8.8,0.446,0.465,1.8,2.1,0.86,0.9,4.5,5.5,5.2,1.3,0.7,3.5,3,15.8
123,Seth Curry\curryse01,SG,31,PHI,45,45,34.8,5.7,11.7,0.485,2.2,5.6,0.4,3.5,6.2,0.561,0.58,1.4,1.6,0.877,0.4,3,3.4,4,0.8,0.2,1.9,2.2,15
124,Stephen Curry\curryst01,PG,33,GSW,50,50,34.6,8.3,19.6,0.422,4.7,12.4,0.381,3.5,7.2,0.492,0.542,4.3,4.7,0.911,0.6,4.9,5.5,6.3,1.4,0.4,3.3,2,25.5
125,Anthony Davis\davisan02,C,28,LAL,35,35,35.6,9.4,17.5,0.537,0.3,1.8,0.172,9.1,15.7,0.579,0.546,4.4,6.1,0.712,2.9,7.1,10,2.9,1.3,2.3,2.2,2.5,23.5
126,Ed Davis\davised01,C,32,CLE,18,3,7.7,0.5,0.8,0.643,0,0,,0.5,0.8,0.643,0.643,0.2,0.4,0.375,0.4,2,2.4,0.2,0.2,0.4,0.3,1.4,1.2
127,Terence Davis\daviste02,SG,24,SAC,30,11,17.9,3.8,8.9,0.423,1.6,5,0.329,2.1,3.9,0.542,0.515,1.2,1.5,0.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
128,Gabriel Deck\deckga01,PF,26,OKC,7,0,8,1.1,2,0.571,0.3,0.6,0.5,0.9,1.4,0.6,0.643,0,0,,0.1,0.7,0.9,0.7,0.1,0,0.3,0.3,2.6
129,Dewayne Dedmon\dedmode01,C,32,MIA,48,15,16.5,2.6,4.4,0.582,0.3,0.6,0.536,2.3,3.9,0.589,0.617,1,1.3,0.781,1.8,4.4,6.2,0.8,0.4,0.5,1.1,2.4,6.5
130,Sam Dekker\dekkesa01,PF,27,TOR,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
