Player,Salary
Killian Tillie\tilliki02MEM,2000000
Juan Toscano-Anderson\toscaju01GSW,1701593
Jarred Vanderbilt\vandeja01MIN,4259259
Justin Jackson\jacksju01MIL,102831
Chimezie Metu\metuch01SAC,1762796
Mo Bamba\bambamo01ORL,7568742
Maurice Harkless\harklma01SAC,4347600
Eric Gordon\gordoer01HOU,18218818
Norman Powell\powelno01TOR,15517242
Lou Williams\willilo02ATL,5000000
Terrence Ross\rosste01ORL,12500000
Clint Capela\capelca01ATL,17103448
Victor Oladipo\oladivi01HOU,2389641
Malik Beasley\beaslma01MIN,14391964
Anthony Gill\gillan01WAS,1517981
Willy Hernangómez\hernawi01NOP,2327220
Luke Kennard\kennalu01LAC,12727273
Jimmy Butler\butleji01MIA,36016200
Bobby Portis\portibo01MIL,4347600
Miles Bridges\bridgmi02CHO,5421493
Dean Wade\wadede01CLE,1782621
Nemanja Bjelica\bjeline01MIA,2089448
Pat Connaughton\connapa01MIL,5333333
Aaron Gordon\gordoaa01ORL,16409091
De'Andre Hunter\huntede01ATL,7775400
Naji Marshall\marshna01NOP,1517981
Danilo Gallinari\gallida01ATL,20475000
JaVale McGee\mcgeeja01DEN,5000000
Damian Jones\jonesda03LAL,1977011
Stanley Johnson\johnsst04TOR,888616
Troy Brown Jr.\browntr01CHI,5170564
Hamidou Diallo\diallha01OKC,5200000
Carmelo Anthony\anthoca01POR,2641691
D.J. Augustin\augusdj01MIL,7000000
E'Twaun Moore\mooreet01PHO,2641691
Nic Claxton\claxtni01BRK,1782621
Abdel Nader\naderab01PHO,2000000
Kemba Walker\walkeke02BOS,8729020
Saben Lee\leesa01DET,1489065
Robert Williams\williro04BOS,3661976
Patty Mills\millspa02SAS,5890000
Nerlens Noel\noelne01NYK,8800000
Damian Jones\jonesda03PHO,1977011
Dewayne Dedmon\dedmode01MIA,5256308
Monte Morris\morrimo01DEN,8333333
George Hill\hillge01PHI,4000000
Luguentz Dort\dortlu01OKC,1782621
Anthony Edwards\edwaran01MIN,10245480
James Harden\hardeja01HOU,43848000
Boban Marjanović\marjabo01DAL,3500000
Rodney McGruder\mcgruro01DET,1939350
Kyle Anderson\anderky01MEM,9937150
Brook Lopez\lopezbr01MIL,13302325
Zeke Nnaji\nnajize01DEN,2498760
Danuel House Jr.\houseda01HOU,1387498
Frank Ntilikina\ntilila01NYK,1789256
Cam Reddish\reddica01ATL,4670160
Gary Trent Jr.\trentga02TOR,16000000
Damian Lillard\lillada01POR,39344900
Kevin Love\loveke01CLE,31300000
Anthony Davis\davisan02LAL,35361360
Royce O'Neale\onealro01UTA,8678571
Donovan Mitchell\mitchdo01UTA,28103550
Vlatko Čančar\cancavl01DEN,1782621
Andre Drummond\drumman01CLE,2401537
Kyle Kuzma\kuzmaky01LAL,13000000
Donte DiVincenzo\divindo01MIL,4675830
Robert Covington\covinro01POR,12975471
Jordan Poole\poolejo01GSW,2161440
